,week,gmv,listing_price,product_mrp,discount,sla,product_procurement_sla,fsn_id,order_payment_type,online_order_perc,Date,Year,Month,TV_ads,Sponsorship_ads,Content_marketing_ads,Online_marketing_ads,NPS,Stock_Index,Special_sales,Payday,heat_deg_days,cool_deg_days,total_rain_mm,total_snow_cm,snow_on_grnd_cm,MA2_listed_price,MA2_discount,MA4_discount,lag_1_listed_price,lag_2_listed_price,lag_3_listed_price,lag_1_discount_offer,lag_2_discount_offer,lag_3_discount_offer,lag_1_NPS,lag_2_NPS,lag_3_NPS,lag_1_Stock_Index,lag_2_Stock_Index,lag_3_Stock_Index,lag_1_Special_sales,lag_2_Special_sales,lag_3_Special_sales,lag_1_Payday,lag_2_Payday,lag_3_Payday
0,1,17466.0,681.08,898.44,0.21960000000000002,2.96,2.56,19,25,100.0,2015-07-05,2015.0,7.0,0.05383255099055528,1.8535674334060548,0.00023322438420521826,0.3318193987561246,54.59958809237621,1177.0,0.0,0.2,0.1,1.46,0.0,0.0,0.0,0.0,0.0,0.0,528.928870292887,449.82550797649037,559.1344537815127,0.41362875618105743,0.4286649874055416,0.3524320316361839,54.599588092376216,54.599588092376216,54.599588092376216,1177.0,1177.0,1177.0,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0
1,2,1435300.0,528.928870292887,963.9071890452643,0.41362875618105743,5.170026626093572,3.01293267402054,211,689,26.207683529859263,2015-07-12,2015.0,7.0,0.08074882648583291,2.780351150109082,0.0003498365763078274,0.49772909813418686,54.599588092376216,1177.0,0.0,0.0,1.058863126402394,2.32191473448018,4.154817275747509,0.029235880398671095,0.04119601328903655,-0.12574381348980043,0.30641178924221074,0.30641178924221074,449.82550797649037,559.1344537815127,554.2141212586339,0.4286649874055416,0.3524320316361839,0.36348426707597853,54.599588092376216,54.599588092376216,56.13887750141158,1177.0,1177.0,1185.2857142857142,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285
2,3,1097388.3591979076,449.82550797649037,759.691435768262,0.4286649874055416,5.115449202350965,2.514273719563392,216,534,22.418136020151135,2015-07-19,2015.0,7.0,0.08074882648583291,2.780351150109082,0.0003498365763078274,0.49772909813418686,54.599588092376216,1177.0,0.2857142857142857,0.14285714285714285,0.8160059835452511,4.72191473448018,1.5691029900332225,0.029235880398671095,0.04119601328903655,-0.08082044287379471,0.017851529040757073,0.2110392117700146,559.1344537815127,554.2141212586339,195.5,0.3524320316361839,0.36348426707597853,0.535,54.599588092376216,56.13887750141158,59.98710102399999,1177.0,1185.2857142857142,1206.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
3,4,1158166.0,559.1344537815127,889.0578348986653,0.3524320316361839,5.1789421651013345,2.338111715274345,232,425,21.008403361344538,2015-07-26,2015.0,7.0,0.08074882648583291,2.780351150109082,0.0003498365763078274,0.49772909813418686,54.599588092376216,1177.0,0.0,0.0,1.6320119670905022,4.172400897531788,1.1405315614617941,0.029235880398671095,0.04119601328903655,0.1083382393237521,-0.0975972944601461,-0.0032507706205969576,554.2141212586339,195.5,805.5,0.36348426707597853,0.535,0.255,56.13887750141158,59.98710102399999,59.98710102399999,1185.2857142857142,1206.0,1206.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285
4,5,742062.0,554.2141212586339,886.0759785111281,0.36348426707597853,5.5518035303146585,2.3254029163468917,224,246,18.879508825786647,2015-08-02,2015.0,8.0,0.028203890125188258,1.1394500683181716,0.00011787721817492745,0.19175855218146848,56.13887750141158,1185.2857142857142,0.0,0.14285714285714285,0.8160059835452511,5.907629020194465,4.340531561461794,0.029235880398671095,0.04119601328903655,-0.00441939984761846,0.015437887724690865,-0.06691843279421936,195.5,805.5,359.0,0.535,0.255,0.49,59.98710102399999,59.98710102399999,59.98710102399999,1206.0,1206.0,1206.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0
5,6,391.0,195.5,362.0,0.535,4.5,2.0,2,0,0.0,2015-08-09,2015.0,8.0,0.0019314219448659314,0.3189995274227162,1.8975391084774736e-06,0.03877327920510927,59.98710102399999,1206.0,0.0,0.0,2.448017950635754,2.9228870605833963,0.9382059800664452,0.05847176079734219,0.0823920265780731,-0.4784678734027552,0.1908945311665849,0.27412708017635673,805.5,359.0,575.75,0.255,0.49,0.45000000000000007,59.98710102399999,59.98710102399999,59.98710102399999,1206.0,1206.0,1206.0,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.0,0.0
6,7,1611.0,805.5,1172.0,0.255,4.5,2.0,2,0,0.0,2015-08-16,2015.0,8.0,0.0019314219448659314,0.3189995274227162,1.8975391084774736e-06,0.03877327920510927,59.98710102399999,1206.0,0.2857142857142857,0.14285714285714285,2.448017950635754,4.23717277486911,2.764451827242525,0.08770764119601328,0.12358803986710964,0.6093906093906094,-0.35443037974683544,-0.32267151841553937,359.0,575.75,464.0015323992995,0.49,0.45000000000000007,0.3803677758318739,59.98710102399999,59.98710102399999,48.7913733067977,1206.0,1206.0,1116.0,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.14285714285714285
7,8,359.0,359.0,699.0,0.49,3.0,3.0,1,0,0.0,2015-08-23,2015.0,8.0,0.0019314219448659314,0.3189995274227162,1.8975391084774736e-06,0.03877327920510927,59.98710102399999,1206.0,0.14285714285714285,0.0,0.8160059835452511,4.950486163051608,4.769102990033223,0.029235880398671095,0.04119601328903655,-0.38342636324602836,0.315436241610738,0.19258823419536195,575.75,464.0015323992995,519.637054631829,0.45000000000000007,0.3803677758318739,0.3712256532066508,59.98710102399999,48.7913733067977,46.925418687263985,1206.0,1116.0,1101.0,0.42857142857142855,0.0,0.0,0.0,0.14285714285714285,0.0
8,9,2303.0,575.75,1035.75,0.45000000000000007,6.0,3.25,4,0,0.0,2015-08-30,2015.0,8.0,0.0019314219448659314,0.3189995274227162,1.8975391084774736e-06,0.03877327920510927,59.98710102399999,1206.0,0.42857142857142855,0.0,4.29431563201197,2.2524308152580415,1.8455149501661132,0.1461794019933555,0.20598006644518274,0.2318801818668093,-0.04255319148936173,0.04046242774566491,464.0015323992995,519.637054631829,514.8665285226718,0.3803677758318739,0.3712256532066508,0.38119941491955145,48.7913733067977,46.925418687263985,46.925418687263985,1116.0,1101.0,1101.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285
9,10,1084240.5,464.0015323992995,746.3721541155867,0.3803677758318739,5.080122591943958,2.5070052539404553,306,442,22.345803842264914,2015-09-06,2015.0,9.0,0.970519711514397,15.803246004215229,0.15257365295408443,4.107921924658991,48.7913733067977,1116.0,0.0,0.14285714285714285,1.6320119670905022,5.172400897531788,9.02624584717608,0.029235880398671095,0.04119601328903655,-0.10747612686161004,-0.08385708862361352,-0.03421212070680953,519.637054631829,514.8665285226718,524.5666205624711,0.3712256532066508,0.38119941491955145,0.40002766251728905,46.925418687263985,46.925418687263985,46.925418687263985,1101.0,1101.0,1101.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
10,11,1118085.0,519.637054631829,833.8422802850356,0.3712256532066508,5.516864608076009,2.4370546318289787,314,413,23.969820081253626,2015-09-13,2015.0,9.0,1.4548138562991626,23.545369242611486,0.22885953066157239,6.142496247385932,46.925418687263985,1101.0,0.0,0.0,2.546297681376217,2.3581151832460736,1.423920265780731,0.05847176079734219,0.0823920265780731,0.056560939115302064,-0.012163654273718629,-0.12218705314397058,514.8665285226718,524.5666205624711,511.7856108160309,0.38119941491955145,0.40002766251728905,0.3858715596330275,46.925418687263985,46.925418687263985,45.48140168539674,1101.0,1101.0,1163.2857142857142,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285
11,12,1080541.251010233,514.8665285226718,846.0170648464164,0.38119941491955145,5.8605558264261335,2.474402730375427,310,426,20.902845927379783,2015-09-20,2015.0,9.0,1.4548138562991626,23.545369242611486,0.22885953066157239,6.142496247385932,46.925418687263985,1101.0,0.0,0.14285714285714285,4.080029917726256,2.123859386686613,1.4215946843853824,0.08770764119601328,0.12358803986710964,-0.0046114157426215985,0.01325548833419206,-0.03664104528981976,524.5666205624711,511.7856108160309,503.44116066630846,0.40002766251728905,0.3858715596330275,0.3555400322407308,46.925418687263985,45.48140168539674,44.398388933996294,1101.0,1163.2857142857142,1210.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
12,13,1169077.0,524.5666205624711,935.6597510373444,0.40002766251728905,6.013831258644537,2.326417704011065,309,402,18.533886583679116,2015-09-27,2015.0,9.0,1.4548138562991626,23.545369242611486,0.22885953066157239,6.142496247385932,46.925418687263985,1101.0,0.0,0.0,4.896035901271508,1.960059835452507,0.7382059800664453,0.05847176079734219,0.0823920265780731,0.009332098027022553,0.024100864065684777,0.04389955856509323,511.7856108160309,503.44116066630846,425.88679368235034,0.3858715596330275,0.3555400322407308,0.49355312569030263,45.48140168539674,44.398388933996294,44.398388933996294,1163.2857142857142,1210.0,1210.0,0.0,0.0,0.42857142857142855,0.14285714285714285,0.0,0.14285714285714285
